"ISO","Constant","static_inv_TT_Cities","EcoRegionId","GHS_dPop_00_15","MapSpam_arable","MapSpam_permacrops","relpotaccess_2000","crops_fract","grass_fract","shrubs_fract","reltri","w_shrubs_fract","w_reltri","w_inv_TT_Cities"
"KEN",-2.80285171655422,0,0.00402997721329421,3.30130374705322e-05,-0.0226108980792718,-0.0282275026681235,0.0419869725595358,-0.014168054448816,0.0132741123411398,0.0727295993357915,-1.14604196190062,0.104861775481765,-2.65669975735553,0
"LBR",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBY",0.71158799015093,0,-0.00312971222148376,-0.0063761716927897,0.0242019459598083,0,0,-0.0914408303798756,-0.0230017606282627,0.0994723115774098,2.72944863504985,0,7.59003920761357,-4.5235705533069
"LSO",-13.4334826489945,0,0.00257890226327798,0,-0.0390112943181458,0,-0.795693041069229,-0.186210750501364,0.253774532439565,0.260084411495582,1.9306560771476,0.628235511644093,8.20903635061772,0
"MAR",-0.691695757853033,-1.73838433607143,0.000711942742297028,0,0,0,-0.463348122848825,-0.120549786610696,-0.0047858981787845,0.10724607722749,0,0,0.45288235759369,0
"MLI",-4.82802265145191,0,0.00388026746447049,-0.000437877840434538,-0.060997906218467,0.773901513124918,0.513231665347611,-0.0296575353817896,0.0195744923640309,-0.0421358296136652,0,-0.114076135252954,6.84419879084963,-23.0304970960924
"MOZ",-4.136774722838,0,0.00256387685676313,0,-0.0100372404859587,-0.0517961008564877,-0.608327044752637,0.0119853963376196,0.0864929409448431,-0.0854244615858064,-2.31255257140099,0.0164805125295148,-8.6794722000758,3.69934533301273
"MRT",3.82456172099187,0,-0.0118150178112006,0,0.0403813989916943,1.74004608276051,-0.0568580031406311,-0.189235111681562,0.062004114375169,0.155088154175471,1.93809505502704,0,11.0468746799044,0
"MWI",-2.84064984525697,0,0.000929994978173822,0,-0.00707267076466498,0,0.304726341626649,-0.00704308302148327,0.0568553392741234,0.234136507202131,-2.17737107970442,-0.332378199767527,-5.89340605633163,-1.83627490500671
"0M",1.77303299554171,-76.4597016863625,-0.00160258525586454,-0.00724767458274855,0.033778108889866,-6.85622964482709,-0.09548646867238,-0.0492279706545128,0.0142249078751128,0.0382245948217541,0,0.115738609459606,-4.57079239934922,120.507357722877
