Scenario,Country,y2010,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
SSP1,NER,15511953,18196621.05,20881289.1,23813589.73,26745890.36,29860270.05,32974649.74,35862039.54,38749429.34,41197195.95,43644962.57,45582437.17,47519911.76,48852396.66,50184881.56,50894652.72,51604423.87,51741416.93,51878409.99
SSP1,NGA,158423181.9,178135045,197846908.1,219306871.1,240766834,263363103.5,285959372.9,307274368.6,328589364.3,346733051.5,364876738.6,379375740.5,393874742.4,404139724.1,414404705.7,420429380,426454054.2,428497068.8,430540083.5
SSP1,REU,846068,888499.2441,930930.4882,962084.0646,993237.6411,1015387.738,1037537.835,1048906.096,1060274.358,1061035.331,1061796.304,1054918.896,1048041.487,1032995.427,1017949.367,992918.7256,967888.0842,933996.8575,900105.6309
SSP1,RWA,10624005,12000197.64,13376390.28,14594661.67,15812933.05,16968004.94,18123076.83,19052548,19982019.18,20612788.11,21243557.04,21661197.92,22078838.8,22255077.96,22431317.13,22383880,22336442.88,22087539.16,21838635.45
SSP1,SEN,12433728,13735833.1,15037938.21,16056118.69,17074299.17,17861621.52,18648943.87,19077349.74,19505755.61,19659831.39,19813907.17,19825426.67,19836946.17,19692053.71,19547161.26,19266552.64,18985944.03,18602393.05,18218842.07
SSP1,SLE,5867536,6515823.254,7164110.507,7765617.968,8367125.429,8890823.005,9414520.58,9800772.314,10187024.05,10438001.55,10688979.05,10802949.13,10916919.2,10882410.91,10847902.62,10684990.39,10522078.16,10260534.05,9998989.93
SSP1,SOM,9330872,10100389.48,10869906.95,11457565.29,12045223.63,12457014.54,12868805.45,12989016.64,13109227.82,13023525.58,12937823.34,12802650.56,12667477.78,12492127.16,12316776.53,12112972.84,11909169.14,11688171.28,11467173.42
SSP1,SWZ,1186056,1253190.59,1320325.179,1368864.351,1417403.524,1449529.099,1481654.674,1500248.727,1518842.78,1521842.446,1524842.112,1510348.443,1495854.773,1466972.977,1438091.181,1399666.098,1361241.015,1316933.098,1272625.182
SSP1,TCD,11227208,12709029.28,14190850.56,15679762.11,17168673.66,18499236.18,19829798.71,20868246.55,21906694.39,22645724.76,23384755.12,23870031.49,24355307.85,24593122.64,24830937.43,24831510.18,24832082.94,24606020.36,24379957.79
SSP1,TGO,6027798,6598074.045,7168350.089,7676449.521,8184548.952,8588961.022,8993373.092,9276301.717,9559230.341,9717727.969,9876225.596,9916044.286,9955862.976,9883074.069,9810285.162,9641271.427,9472257.692,9226229.208,8980200.725
SSP1,TUN,10480934,10927390.8,11373847.6,11630067.78,11886287.96,11983062.61,12079837.25,12050079.91,12020322.57,11842466.17,11664609.77,11354891.16,11045172.56,10650180.09,10255187.63,9818949.6,9382711.571,8907099.631,8431487.69
SSP1,TZA,44841226,50573723.07,56306220.14,61831577.96,67356935.79,72359669.12,77362402.44,81190948.61,85019494.77,87663725.51,90307956.25,91957234.54,93606512.84,94280627.43,94954742.02,94719441.77,94484141.52,93323160.53,92162179.55
SSP1,UGA,33424683,38586535.19,43748387.38,49290294.27,54832201.16,60533470.86,66234740.56,71302912.04,76371083.52,80599596.28,84828109.04,88114973.65,91401838.26,93600005.21,95798172.17,96956435.9,98114699.64,98224464.92,98334230.21
SSP1,ZAF,50132817,52420963.51,54709110.02,56588724.65,58468339.28,59751602.21,61034865.14,61689405.95,62343946.76,62279327.66,62214708.55,61397479.36,60580250.16,59059901.05,57539551.93,55532923.79,53526295.65,51230848.62,48935401.6
SSP1,ZMB,13088570,14741615.77,16394661.55,18052893.23,19711124.92,21307470.21,22903815.5,24180398.85,25456982.2,26420469.68,27383957.16,28092307.9,28800658.65,29217785.67,29634912.69,29778197.64,29921482.6,29788020.28,29654557.97
